"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2015","122,400","114,000","125,000","114,000","0.07K","10.63%"
"09/01/2015","110,640","105,500","113,500","105,500","0.02K","5.37%"
"08/01/2015","105,000","108,500","110,500","105,000","0.05K","-3.23%"
"07/01/2015","108,500","110,000","112,200","107,000","0.10K","-1.36%"
"06/01/2015","110,000","106,000","108,000","106,000","0.07K","7.53%"
"05/01/2015","102,300","99,000","101,010","99,000","0.01K","-7.87%"
"04/01/2015","111,040","106,000","111,000","106,000","0.02K","1.41%"
"03/01/2015","109,500","110,200","112,450","110,200","0.05K","3.20%"
"02/01/2015","106,100","107,900","107,900","105,000","0.03K","-1.76%"
"01/01/2015","108,000","110,000","113,000","108,000","0.11K","4.35%"
"12/01/2014","103,500","103,500","103,500","103,500","0.01K","3.71%"
"11/01/2014","99,800","94,500","101,000","94,500","0.02K","10.15%"
"10/01/2014","90,600","89,000","92,510","88,000","0.07K","8.24%"
"09/01/2014","83,700","83,500","85,500","82,050","0.07K","0.24%"
"08/01/2014","83,500","85,500","87,450","84,000","0.05K","-2.91%"
"07/01/2014","86,000","91,300","91,300","84,200","0.09K","-7.23%"
"06/01/2014","92,700","92,500","93,300","92,000","0.06K","-0.11%"
"05/01/2014","92,800","93,690","94,000","92,800","0.05K","-8.84%"
"02/01/2014","101,800","104,500","105,000","104,500","0.01K","8.30%"
"01/01/2014","94,000","94,000","94,000","94,000","0.01K","-3.34%"
"12/01/2013","97,250","98,500","98,500","97,250","0.01K","0.46%"
"11/01/2013","96,800","96,000","97,000","96,000","0.03K","8.54%"
"10/01/2013","89,180","86,900","91,000","86,500","0.14K","4.43%"
"09/01/2013","85,400","87,500","90,000","84,000","0.06K","-2.40%"
"08/01/2013","87,500","90,990","91,000","85,000","0.04K","-2.78%"
"07/01/2013","90,000","107,300","107,300","91,000","0.09K","-18.55%"
"06/01/2013","110,500","118,750","118,750","110,000","0.10K","-7.14%"
"05/01/2013","119,000","121,500","122,000","118,000","0.04K","-15.60%"
"04/01/2013","141,000","141,000","141,000","141,000","","0.00%"
"03/01/2013","141,000","125,000","141,000","125,000","0.01K","0.71%"
"02/01/2013","140,000","140,000","140,000","140,000","0.02K","2.18%"
"01/01/2013","137,010","138,000","138,000","137,000","0.01K","3.40%"
"12/01/2012","132,500","132,500","132,500","132,500","","1.53%"
"11/01/2012","130,500","130,500","130,500","130,500","0.00K","-2.32%"
"10/01/2012","133,600","132,100","135,500","131,500","0.04K","-4.64%"
"09/01/2012","140,100","145,000","145,500","138,000","0.11K","0.07%"
"08/01/2012","140,000","136,300","140,000","136,300","0.02K","2.56%"
"07/01/2012","136,500","136,500","136,500","135,000","0.01K","13.75%"
"06/01/2012","120,000","123,000","123,000","123,000","0.01K","-4.00%"
